J:<Bb,39796>
F:<Dn,111>,<P,110>,<Q,110>,<AG,110>,<AJ,110>,<Do,110>,<Ab,110>,<Dp,110>,<Ao,110>,<BM,110>,<Bb,110>,<CF,110>,<CK,110>,<CP,110>,<CS,110>,<CT,110>,<Cz,110>,<C4,110>
I:<AS,3438>
B:<Dn,121>,<P,116>,<Q,116>,<AD,116>,<AF,116>,<AG,116>,<Ab,116>,<CS,116>,<CT,116>,<DU,116>,<DV,116>,<Dw,116>
C:<AS,672>
A:<AS,2001>
G:<AS,975>
E:<BV,2367>
D:<AS,1053>
H:<AS,259>
J:<Db,3569>
F:<Dn,163>,<P,149>,<Q,149>,<AG,149>,<AJ,149>,<Do,149>,<Ab,149>,<Dp,149>,<Ao,149>,<BM,149>,<Bb,149>,<CF,149>,<CK,149>,<CP,149>,<CS,149>,<CT,149>,<Cz,149>,<C4,149>
I:<Db,3836>
B:<Dn,97>,<P,96>,<Q,96>,<AD,96>,<AF,96>,<AG,96>,<Ab,96>,<CS,96>,<CT,96>,<DU,96>,<DV,96>,<Dw,96>
C:<DA,651>
A:<Db,2184>
G:<DA,1278>
E:<Dq,120>,<Ag,109>,<Ak,109>,<Ao,109>,<Ar,109>,<A3,109>,<Dr,109>,<A7,109>,<BR,109>,<BV,109>,<Bv,109>,<B0,109>,<Cg,109>,<Du,109>,<DD,109>,<DE,109>,<DF,109>
D:<DA,892>
H:<DA,160>
J:<Cb,5836>
F:<Dn,114>,<P,104>,<Q,104>,<AG,104>,<AJ,104>,<Do,104>,<Ab,104>,<Dp,104>,<Ao,104>,<BM,104>,<Bb,104>,<CF,104>,<CK,104>,<CP,104>,<CS,104>,<CT,104>,<Cz,104>,<C4,104>
I:<Cb,4158>
B:<Dn,152>,<P,143>,<Q,143>,<AD,143>,<AF,143>,<AG,143>,<Ab,143>,<CS,143>,<CT,143>,<DU,143>,<DV,143>,<Dw,143>
C:<CB,987>
A:<Cb,2181>
G:<Cb,787>
E:<Dq,116>,<Ag,116>,<Ak,116>,<Ao,116>,<Ar,116>,<A3,116>,<Dr,116>,<A7,116>,<BR,116>,<BV,116>,<Bv,116>,<B0,116>,<Cg,116>,<Du,116>,<DD,116>,<DE,116>,<DF,116>
D:<CB,1272>
H:<4,207>
J:<Dt,4798>
F:<Cz,3485>
I:<Dt,3614>
B:<Dn,106>,<P,97>,<Q,97>,<AD,97>,<AF,97>,<AG,97>,<Ab,97>,<CS,97>,<CT,97>,<DU,97>,<DV,97>,<Dw,97>
C:<Cz,1008>
A:<Dt,2060>
G:<Dt,1176>
E:<Dq,109>,<Ag,103>,<Ak,103>,<Ao,103>,<Ar,103>,<A3,103>,<Dr,103>,<A7,103>,<BR,103>,<BV,103>,<Bv,103>,<B0,103>,<Cg,103>,<Du,103>,<DD,103>,<DE,103>,<DF,103>
D:<Cz,1128>
H:<Cz,240>
J:<AS,4226>
F:<Dn,168>,<P,157>,<Q,157>,<AG,157>,<AJ,157>,<Do,157>,<Ab,157>,<Dp,157>,<Ao,157>,<BM,157>,<Bb,157>,<CF,157>,<CK,157>,<CP,157>,<CS,157>,<CT,157>,<Cz,157>,<C4,157>
I:<AS,4011>
B:<Dn,147>,<P,136>,<Q,136>,<AD,136>,<AF,136>,<AG,136>,<Ab,136>,<CS,136>,<CT,136>,<DU,136>,<DV,136>,<Dw,136>
C:<AS,808>
A:<AS,2349>
G:<AS,1344>
E:<Dq,104>,<Ag,101>,<Ak,101>,<Ao,101>,<Ar,101>,<A3,101>,<Dr,101>,<A7,101>,<BR,101>,<BV,101>,<Bv,101>,<B0,101>,<Cg,101>,<Du,101>,<DD,101>,<DE,101>,<DF,101>
D:<AS,930>
H:<AS,157>
J:<AJ,5044>
F:<AJ,4200>
I:<AJ,5172>
B:<Dn,153>,<P,143>,<Q,143>,<AD,143>,<AF,143>,<AG,143>,<Ab,143>,<CS,143>,<CT,143>,<DU,143>,<DV,143>,<Dw,143>
C:<AJ,1149>
A:<AJ,1759>
G:<AJ,1268>
E:<Dq,3401>
D:<AJ,1136>
H:<AJ,243>
J:<DF,4157>
F:<Dn,181>,<P,167>,<Q,167>,<AG,167>,<AJ,167>,<Do,167>,<Ab,167>,<Dp,167>,<Ao,167>,<BM,167>,<Bb,167>,<CF,167>,<CK,167>,<CP,167>,<CS,167>,<CT,167>,<Cz,167>,<C4,167>
I:<DF,3558>
B:<Dn,146>,<P,140>,<Q,140>,<AD,140>,<AF,140>,<AG,140>,<Ab,140>,<CS,140>,<CT,140>,<DU,140>,<DV,140>,<Dw,140>
C:<DF,880>
A:<DF,1798>
G:<DF,1007>
E:<DF,3086>
D:<DF,859>
H:<DF,129>
J:<DE,5654>
F:<Dn,215>,<P,202>,<Q,202>,<AG,202>,<AJ,202>,<Do,202>,<Ab,202>,<Dp,202>,<Ao,202>,<BM,202>,<Bb,202>,<CF,202>,<CK,202>,<CP,202>,<CS,202>,<CT,202>,<Cz,202>,<C4,202>
I:<DE,5221>
B:<Dn,152>,<P,151>,<Q,151>,<AD,151>,<AF,151>,<AG,151>,<Ab,151>,<CS,151>,<CT,151>,<DU,151>,<DV,151>,<Dw,151>
C:<DE,836>
A:<DE,1513>
G:<DE,846>
E:<DE,4391>
D:<DE,933>
H:<DE,197>
J:<C9,5578>
F:<Dn,199>,<P,196>,<Q,196>,<AG,196>,<AJ,196>,<Do,196>,<Ab,196>,<Dp,196>,<Ao,196>,<BM,196>,<Bb,196>,<CF,196>,<CK,196>,<CP,196>,<CS,196>,<CT,196>,<Cz,196>,<C4,196>
I:<C9,4571>
B:<Dn,155>,<P,154>,<Q,154>,<AD,154>,<AF,154>,<AG,154>,<Ab,154>,<CS,154>,<CT,154>,<DU,154>,<DV,154>,<Dw,154>
C:<C9,998>
A:<Db,2089>
G:<C9,1468>
E:<A7,5403>
D:<C9,822>
H:<C9,162>
J:<DD,5447>
F:<Dn,174>,<P,164>,<Q,164>,<AG,164>,<AJ,164>,<Do,164>,<Ab,164>,<Dp,164>,<Ao,164>,<BM,164>,<Bb,164>,<CF,164>,<CK,164>,<CP,164>,<CS,164>,<CT,164>,<Cz,164>,<C4,164>
I:<DD,6691>
B:<Dn,175>,<P,165>,<Q,165>,<AD,165>,<AF,165>,<AG,165>,<Ab,165>,<CS,165>,<CT,165>,<DU,165>,<DV,165>,<Dw,165>
C:<DD,1267>
A:<DD,2327>
G:<DD,1310>
E:<DD,3381>
D:<DD,1074>
H:<DD,217>
J:<Bv,6952>
F:<C4,3822>
I:<E,5572>
B:<Dn,102>,<P,97>,<Q,97>,<AD,97>,<AF,97>,<AG,97>,<Ab,97>,<CS,97>,<CT,97>,<DU,97>,<DV,97>,<Dw,97>
C:<E,1115>
A:<E,2457>
G:<Bv,1042>
E:<Bv,4910>
D:<Bv,983>
H:<C4,193>
J:<Dq,5984>
F:<Dn,193>,<P,190>,<Q,190>,<AG,190>,<AJ,190>,<Do,190>,<Ab,190>,<Dp,190>,<Ao,190>,<BM,190>,<Bb,190>,<CF,190>,<CK,190>,<CP,190>,<CS,190>,<CT,190>,<Cz,190>,<C4,190>
I:<Dq,4935>
B:<Dn,135>,<P,134>,<Q,134>,<AD,134>,<AF,134>,<AG,134>,<Ab,134>,<CS,134>,<CT,134>,<DU,134>,<DV,134>,<Dw,134>
C:<Dq,953>
A:<Dq,2940>
G:<Dq,1131>
E:<Dq,4885>
D:<Dq,1509>
H:<Dq,171>
J:<BV,7638>
F:<Dn,191>,<P,185>,<Q,185>,<AG,185>,<AJ,185>,<Do,185>,<Ab,185>,<Dp,185>,<Ao,185>,<BM,185>,<Bb,185>,<CF,185>,<CK,185>,<CP,185>,<CS,185>,<CT,185>,<Cz,185>,<C4,185>
I:<Bo,6381>
B:<Dn,204>,<P,193>,<Q,193>,<AD,193>,<AF,193>,<AG,193>,<Ab,193>,<CS,193>,<CT,193>,<DU,193>,<DV,193>,<Dw,193>
C:<C8,1516>
A:<Bo,2299>
G:<BV,1579>
E:<BV,5061>
D:<BV,1373>
H:<C8,192>
J:<B0,9898>
F:<Dn,176>,<P,175>,<Q,175>,<AG,175>,<AJ,175>,<Do,175>,<Ab,175>,<Dp,175>,<Ao,175>,<BM,175>,<Bb,175>,<CF,175>,<CK,175>,<CP,175>,<CS,175>,<CT,175>,<Cz,175>,<C4,175>
I:<B0,9315>
B:<Dn,219>,<P,211>,<Q,211>,<AD,211>,<AF,211>,<AG,211>,<Ab,211>,<CS,211>,<CT,211>,<DU,211>,<DV,211>,<Dw,211>
C:<B0,2155>
A:<B0,2725>
G:<B0,1949>
E:<B0,3086>
D:<B0,1456>
H:<B0,301>
J:<Ar,8377>
F:<P,5504>
